Date,Open,High,Low,Close,Adj Close,Volume
01-04-2020,1122,1129.69,1097.45,1105.62,1105.62,2343100
02-04-2020,1098.26,1126.86,1096.4,1120.84,1120.84,1964900
03-04-2020,1119.015,1123.54,1097.88,1097.88,1097.88,2313400
06-04-2020,1138,1194.66,1130.94,1186.92,1186.92,2664700
07-04-2020,1221,1225,1182.23,1186.51,1186.51,2387300
08-04-2020,1206.5,1219.07,1188.16,1210.28,1210.28,1975100
09-04-2020,1224.08,1225.57,1196.735,1211.45,1211.45,2175400
13-04-2020,1209.18,1220.51,1187.598,1217.56,1217.56,1739800
14-04-2020,1245.09,1282.07,1236.93,1269.23,1269.23,2470400
15-04-2020,1245.61,1280.46,1240.4,1262.47,1262.47,1671700
16-04-2020,1274.1,1279,1242.62,1263.47,1263.47,2518100
17-04-2020,1284.85,1294.43,1271.23,1283.25,1283.25,1949000
20-04-2020,1271,1281.6,1261.37,1266.61,1266.61,1695500
21-04-2020,1247,1254.27,1209.71,1216.34,1216.34,2153000
22-04-2020,1245.54,1285.613,1242,1263.21,1263.21,2093100
23-04-2020,1271.55,1293.31,1265.67,1276.31,1276.31,1566200
24-04-2020,1261.17,1280.4,1249.45,1279.31,1279.31,1640400
27-04-2020,1296,1296.15,1269,1275.88,1275.88,1600600
28-04-2020,1287.93,1288.05,1232.2,1233.67,1233.67,2951300
29-04-2020,1341.46,1359.99,1325.34,1341.48,1341.48,3793600
30-04-2020,1324.88,1352.82,1322.49,1348.66,1348.66,2665400
01-05-2020,1328.5,1352.07,1311,1320.61,1320.61,2072500
